number,value,lr,weight_decay,state,duration,duration_min
0,0.7166442796192942,1.329291894316217e-05,0.006351221010640704,COMPLETE,0 days 01:11:13.271820,71.221197
1,0.7439723126101238,0.000157029708840554,0.0002481040974867811,COMPLETE,0 days 00:53:27.488693,53.45814488333333
2,0.61490330447463,2.9380279387035354e-06,4.207053950287936e-06,COMPLETE,0 days 01:11:10.039670,71.16732783333333
3,0.5134313722639472,1.493656855461763e-06,0.0029154431891537554,COMPLETE,0 days 01:11:14.906307,71.24843845000001
4,0.7360915855275966,6.358358856676247e-05,0.0006796578090758161,COMPLETE,0 days 00:59:23.098847,59.38498078333334
5,0.06065836771567736,1.1527987128232402e-06,0.00757947995334801,PRUNED,0 days 00:12:09.514953,12.15858255
6,0.7520550247576274,0.0003142880890840109,7.068974950624607e-06,COMPLETE,0 days 00:47:36.939349,47.61565581666667
7,0.3759147970932466,3.5113563139704077e-06,5.415244119402541e-06,PRUNED,0 days 00:12:11.545736,12.192428933333334
8,0.5058095482764973,8.179499475211674e-06,0.0001256104370001356,PRUNED,0 days 00:12:12.976295,12.216271583333334
9,0.6164587138842913,1.9762189340280066e-05,1.461896279370496e-05,PRUNED,0 days 00:12:11.468615,12.191143583333334
10,0.7448535775930785,0.0006845570267272912,6.541503292647447e-06,COMPLETE,0 days 00:32:52.306849,32.871780816666664
11,0.7489012723292505,0.000418303901976155,3.411106352071132e-06,COMPLETE,0 days 00:26:54.524906,26.908748433333336
12,0.7085085905247808,8.55029780085638e-05,1.023876578770387e-06,PRUNED,0 days 00:12:09.918172,12.165302866666668
13,0.7343777329268018,0.0008662364155609353,0.00012307806032412259,COMPLETE,0 days 00:26:56.631609,26.94386015
14,0.7193269446541067,0.00025170997247363734,8.314437150035916e-06,PRUNED,0 days 00:12:09.922846,12.165380766666667
15,0.7554503198501787,0.000535689417446777,1.5053544293347015e-06,COMPLETE,0 days 00:35:45.178744,35.75297906666666
16,0.7253919120766208,0.0006629282764656846,1.6085074904808788e-06,PRUNED,0 days 00:12:10.498499,12.174974983333334
17,0.7229700501997558,0.00025486998689927206,3.911471068666639e-05,PRUNED,0 days 00:12:11.126044,12.185434066666666
18,0.7024933738616279,7.808195139745851e-05,1.4371036526922143e-05,PRUNED,0 days 00:12:10.970857,12.182847616666667
19,0.591351029441185,1.6047121590476874e-05,1.6690112858896868e-06,PRUNED,0 days 00:12:09.784166,12.163069433333334
20,0.7207643633691874,0.00011944421991345183,1.9306548795793505e-06,PRUNED,0 days 00:12:08.986038,12.1497673
21,0.7442820464110234,0.0003757335040862141,1.0370218832048903e-06,COMPLETE,0 days 00:26:56.898151,26.94830251666667
22,0.7319221769272571,0.0007385529612333743,5.900004022669656e-06,COMPLETE,0 days 00:21:00.766209,21.012770149999998
23,0.725978209803781,0.00018898495644645725,1.390717310474229e-05,PRUNED,0 days 00:12:08.979412,12.149656866666668
24,0.7392320949429498,0.00040118996548422494,0.008846283310423222,COMPLETE,0 days 00:35:42.014347,35.700239116666665
25,0.7383586582402326,0.0009625145714248152,3.235766254967105e-05,COMPLETE,0 days 00:29:49.964901,29.83274835
26,0.7053639525897663,0.000909578385523832,1.81125557422922e-06,PRUNED,0 days 00:12:09.215512,12.153591866666666
27,0.7251682471538188,0.00019416395146942125,5.459861597466806e-06,PRUNED,0 days 00:12:08.628167,12.143802783333333
28,0.7318508850518832,0.0002720881736066259,1.4339821269272687e-06,COMPLETE,0 days 00:26:52.398082,26.873301366666666
29,0.7213580605199352,0.00012000232402365931,6.339584725128781e-06,PRUNED,0 days 00:12:09.568541,12.159475683333334
30,0.7418008236148123,0.00048102918351660833,9.008652449298094e-06,COMPLETE,0 days 00:21:00.600950,21.010015833333334
31,0.7385063470407087,0.0007299935635631758,8.265799342689954e-06,COMPLETE,0 days 00:26:53.664060,26.894401000000002
32,0.5265177761633968,1.1468235069034277e-05,0.005371824793496198,PRUNED,0 days 00:12:08.872958,12.147882633333333
33,0.747462641582358,0.0006907881028679269,8.514375882188519e-06,COMPLETE,0 days 00:32:49.495811,32.824930183333336
34,0.7320810032253968,0.000910793612277022,1.0963781701980526e-06,COMPLETE,0 days 00:26:51.433310,26.85722183333333
35,0.7275555232046775,0.00041890231460312423,1.70625237420077e-05,PRUNED,0 days 00:12:09.469880,12.157831333333332
36,0.7297741801086408,0.00027054657821374385,8.474129014226123e-06,PRUNED,0 days 00:12:07.377828,12.1229638
37,0.7312493647090124,0.00033992259928708647,3.94843878736173e-06,PRUNED,0 days 00:12:11.150831,12.185847183333333
38,0.7144029847510875,0.000903057408230182,8.382645700052627e-06,PRUNED,0 days 00:12:09.875064,12.164584399999999
39,0.7356825502441093,0.0002472705795612612,3.332925530445814e-06,COMPLETE,0 days 00:35:44.910814,35.74851356666667
40,0.7233137247877945,0.00012575066685915578,5.296261902475554e-05,PRUNED,0 days 00:12:10.605555,12.17675925
41,0.744896818136509,0.0005095254573221238,8.987015093167464e-06,COMPLETE,0 days 00:41:35.171914,41.58619856666667
42,0.08930353087462674,1.078866151591953e-06,5.379898982819182e-05,PRUNED,0 days 00:12:09.056656,12.150944266666666
43,0.7566850170002906,0.0005094446221824451,5.318627678933379e-06,COMPLETE,0 days 00:47:30.562070,47.509367833333336
44,0.7363211201052398,0.0004065011510696104,1.6571753680512184e-06,COMPLETE,0 days 00:29:53.797743,29.89662905
45,0.7301037625972484,0.0009008484553184985,1.066367727426979e-05,PRUNED,0 days 00:12:08.264077,12.137734616666668
