number,value,attn_dropout,num_heads,num_layers,state,duration,duration_min
0,,0.4195981825434215,5,4,FAIL,0 days 00:00:03.140683,0.052344716666666666
1,0.7387435099067176,0.4195981825434215,5,4,COMPLETE,0 days 00:30:15.426655,30.257110916666665
2,0.7379698258407619,0.24679835610086082,2,6,COMPLETE,0 days 00:16:15.267111,16.25445185
3,0.7232725774995759,0.3803345035229626,5,2,COMPLETE,0 days 00:12:06.276840,12.104614
4,0.734274178434051,0.4909729556485983,2,6,COMPLETE,0 days 00:19:43.995983,19.733266383333333
5,0.7491711129038559,0.2545474901621302,2,7,COMPLETE,0 days 00:22:04.225997,22.070433283333333
6,0.7393114415236061,0.35742692948967136,3,3,COMPLETE,0 days 00:12:13.204357,12.220072616666666
7,0.7354767663213135,0.38355586841671385,3,5,COMPLETE,0 days 00:17:17.637506,17.293958433333334
8,0.7098943130074169,0.3099085529881075,3,2,PRUNED,0 days 00:04:23.774868,4.3962478
9,0.739780635836439,0.25990213464750794,5,5,COMPLETE,0 days 00:25:49.565552,25.826092533333334
10,0.7381943977211254,0.21393512381599933,4,5,COMPLETE,0 days 00:16:07.135980,16.118933000000002
11,0.7302858693153358,0.3290381831049251,4,7,PRUNED,0 days 00:12:10.203713,12.170061883333334
12,0.7232880486120068,0.38229117779129507,2,8,PRUNED,0 days 00:09:07.764804,9.1294134
13,0.7424660998988516,0.2394830025963632,3,8,COMPLETE,0 days 00:24:58.517299,24.975288316666667
14,0.7420468453698288,0.20738226950067506,3,8,COMPLETE,0 days 00:24:58.436781,24.973946350000002
15,0.7390483780485172,0.4643511199307204,4,8,COMPLETE,0 days 00:30:08.867841,30.14779735
16,0.7194567983570669,0.26420910665330466,2,8,PRUNED,0 days 00:09:07.307471,9.121791183333332
17,0.7347000268614307,0.30911626232715095,3,6,PRUNED,0 days 00:08:58.596056,8.976600933333334
18,0.7460920128680906,0.242468992384485,5,8,COMPLETE,0 days 00:38:23.768145,38.39613575
19,0.7461648229940362,0.21849812206876318,5,8,COMPLETE,0 days 00:34:31.449477,34.52415795
20,0.7289132663877222,0.2591271449341901,2,4,PRUNED,0 days 00:05:37.762101,5.629368349999999
21,0.7520596366015424,0.32594672145577475,5,8,COMPLETE,0 days 00:45:50.140118,45.83566863333333
22,0.7342848947907533,0.3963401254622464,5,7,PRUNED,0 days 00:13:54.560549,13.909342483333335
23,0.7554484294929897,0.2703265523259894,5,8,COMPLETE,0 days 00:34:29.012163,34.48353605
24,0.7361819568844522,0.3269892732229039,5,8,PRUNED,0 days 00:15:33.013834,15.550230566666666
25,0.7484512601666083,0.3427447579232696,5,6,COMPLETE,0 days 00:21:05.210637,21.08684395
26,0.7274940870086832,0.3005546457950242,5,8,PRUNED,0 days 00:15:36.022567,15.600376116666666
27,0.7174117540741223,0.32003291271033096,4,8,PRUNED,0 days 00:13:37.229124,13.6204854
28,0.7296654139376331,0.4613439472675884,2,3,PRUNED,0 days 00:04:44.658373,4.744306216666667
29,,0.21804025728105908,2,7,RUNNING,,
30,0.7213520802878632,0.2534864257649374,5,2,PRUNED,0 days 00:05:31.975317,5.53292195
31,0.7300588214123616,0.4908611332363598,4,5,PRUNED,0 days 00:09:13.733277,9.22888795
32,0.727136496200319,0.3122889787836815,2,7,PRUNED,0 days 00:08:11.352590,8.189209833333333
33,0.7425661730519519,0.35697789431179944,5,5,COMPLETE,0 days 00:25:41.440340,25.690672333333335
34,0.7345338810756404,0.32072656430167024,5,6,PRUNED,0 days 00:12:10.322620,12.172043666666667
35,0.7333432322072189,0.2502948239883631,2,6,PRUNED,0 days 00:07:20.227426,7.337123766666666
36,0.7182757173946355,0.29696261018399905,5,7,PRUNED,0 days 00:13:48.456141,13.80760235
37,0.7257889359947705,0.3460906579132009,5,8,PRUNED,0 days 00:15:28.118692,15.468644866666667
38,0.708066876381273,0.20342094345934977,2,6,PRUNED,0 days 00:07:18.265200,7.3044199999999995
39,0.7290416698386122,0.35421036334463457,4,5,PRUNED,0 days 00:09:16.032322,9.267205366666667
40,0.7315056623934171,0.28598477097712793,5,8,PRUNED,0 days 00:15:31.451922,15.5241987
41,0.7173440480123068,0.4822216624619695,4,2,PRUNED,0 days 00:04:57.759832,4.962663866666667
42,0.7318770906350839,0.3812990394144781,5,6,PRUNED,0 days 00:12:08.941323,12.149022050000001
43,0.7325325204455628,0.20307427829987584,5,8,PRUNED,0 days 00:15:31.991909,15.533198483333333
44,0.7472530790945104,0.2235387154900342,5,6,COMPLETE,0 days 00:26:55.991655,26.93319425
45,0.72761637358202,0.21066926276157635,5,6,PRUNED,0 days 00:12:09.669011,12.161150183333332
46,0.7200722975320092,0.250630893555698,5,6,PRUNED,0 days 00:12:12.538401,12.20897335
47,0.7451650745948958,0.2260893427894612,5,5,COMPLETE,0 days 00:23:09.956407,23.165940116666665
48,0.7299145195946489,0.2578616703356012,2,7,PRUNED,0 days 00:08:12.382558,8.206375966666666
49,0.7561723603038191,0.2858666834614854,5,6,COMPLETE,0 days 00:32:48.810358,32.81350596666667
50,0.7478391281977277,0.3199505731413099,5,6,COMPLETE,0 days 00:32:49.075773,32.81792955
51,0.7189084024320462,0.32132778843310805,5,7,PRUNED,0 days 00:13:52.105124,13.868418733333334
52,0.7263004626123523,0.28228446113863653,4,5,PRUNED,0 days 00:09:14.373042,9.2395507
53,0.7546778332356767,0.34030755256058387,5,6,COMPLETE,0 days 00:32:45.504966,32.7584161
54,0.7181421777130745,0.20329675677313144,3,2,PRUNED,0 days 00:04:24.090328,4.401505466666666
55,0.7255295819896356,0.3476090189705785,5,6,PRUNED,0 days 00:12:09.802844,12.163380733333334
56,0.7501279100535729,0.31533545437845883,5,5,COMPLETE,0 days 00:23:10.566641,23.17611068333333
57,0.7231069974318076,0.3485280781769375,5,3,PRUNED,0 days 00:07:07.220169,7.12033615
58,0.7040968354939591,0.3138705825340651,5,4,PRUNED,0 days 00:08:48.637776,8.8106296
59,0.7488761513581205,0.27969283186695365,4,6,COMPLETE,0 days 00:23:42.935619,23.715593650000002
60,0.7349391775158691,0.27658057677079273,5,8,PRUNED,0 days 00:15:31.444594,15.524076566666668
61,0.7290653857151286,0.2959063322179076,5,5,PRUNED,0 days 00:10:29.835923,10.497265383333334
62,0.7299857041335907,0.38961212053210215,5,8,PRUNED,0 days 00:15:30.588216,15.5098036
63,0.7170119665258274,0.2455023993274495,4,6,PRUNED,0 days 00:10:44.027971,10.733799516666666
64,0.7294279063919162,0.2997277240981522,4,6,PRUNED,0 days 00:10:43.401308,10.723355133333333
65,0.7336069112955286,0.2799971861877081,4,7,PRUNED,0 days 00:12:09.829618,12.163826966666667
66,0.7320748323023936,0.3069203593859862,5,5,PRUNED,0 days 00:10:31.075637,10.517927283333334
67,0.7235397675223518,0.3651708337400959,2,3,PRUNED,0 days 00:04:43.758972,4.7293162
68,0.7354093935447064,0.28833224278976005,5,6,PRUNED,0 days 00:12:10.063130,12.167718833333334
69,0.7460925845124387,0.3209543207102919,4,6,COMPLETE,0 days 00:23:39.202812,23.6533802
70,0.7200714114829101,0.2464257646208442,2,8,PRUNED,0 days 00:09:03.097179,9.05161965
71,0.7444527126204614,0.27385889924867257,3,5,COMPLETE,0 days 00:17:11.450374,17.190839566666668
72,0.7376776236494844,0.4028329926341195,3,6,PRUNED,0 days 00:08:53.374596,8.8895766
73,0.7233090846349319,0.35488056255419975,5,6,PRUNED,0 days 00:12:10.202403,12.17004005
74,0.7281853602510922,0.3988255828825912,5,4,PRUNED,0 days 00:08:49.661558,8.827692633333333
75,0.7313072264432487,0.3529724873230529,4,7,PRUNED,0 days 00:12:09.094837,12.151580616666667
76,0.7341238610695002,0.49293459797673855,5,7,PRUNED,0 days 00:13:45.912866,13.765214433333334
77,0.7236704160719183,0.33330971640213475,5,7,PRUNED,0 days 00:13:50.728616,13.845476933333334
78,0.7421646292060102,0.2610963420535531,4,8,COMPLETE,0 days 00:30:07.118025,30.11863375
79,0.7198242318756531,0.49815283551491263,2,8,PRUNED,0 days 00:09:02.458725,9.040978749999999
80,0.7226129694767871,0.2779332345113165,5,7,PRUNED,0 days 00:13:48.588876,13.809814600000001
81,0.7280547653041396,0.32719459235149034,5,6,PRUNED,0 days 00:12:09.601079,12.160017983333335
82,0.72495785506499,0.35412315691304,5,5,PRUNED,0 days 00:10:28.439371,10.473989516666668
83,0.7213986086921165,0.32521606027675626,5,6,PRUNED,0 days 00:12:10.249011,12.17081685
84,0.7364887421812765,0.2927132942732504,5,6,PRUNED,0 days 00:12:11.275460,12.187924333333333
85,0.7400804482464849,0.32353132695370496,5,8,PRUNED,0 days 00:15:30.039562,15.500659366666667
86,0.7261623373904975,0.37511035209613885,5,6,PRUNED,0 days 00:12:06.795212,12.113253533333333
87,0.7441568005017718,0.2684222449868061,3,7,COMPLETE,0 days 00:22:12.895983,22.21493305
88,0.7370376950353351,0.309581586092921,4,4,PRUNED,0 days 00:07:48.489712,7.808161866666667
89,0.7481466371113811,0.3259207341470906,5,5,COMPLETE,0 days 00:28:11.615170,28.193586166666666
90,0.7413595829861817,0.2994792273649815,5,4,PRUNED,0 days 00:08:49.963632,8.832727199999999
91,0.7385621969384129,0.32519361467728414,5,5,PRUNED,0 days 00:10:28.709583,10.478493049999999
92,0.7266267253731259,0.33835302673085366,2,6,PRUNED,0 days 00:07:18.203783,7.303396383333333
93,0.7492783716262508,0.3316188602544948,5,5,COMPLETE,0 days 00:40:51.834546,40.8639091
94,0.7306303031249102,0.3795023038147737,4,5,PRUNED,0 days 00:09:13.920005,9.232000083333332
95,0.7335922933685683,0.3391559623506008,5,5,PRUNED,0 days 00:10:27.080212,10.451336866666667
96,0.7381008096004714,0.289594627755767,5,5,PRUNED,0 days 00:10:28.161815,10.469363583333335
97,0.726277918142253,0.27521719535689076,2,6,PRUNED,0 days 00:07:20.723706,7.3453951
98,0.7098123013585591,0.4070733224593357,3,2,PRUNED,0 days 00:04:22.736772,4.3789462
99,0.7388332571494038,0.35254708241190835,5,5,PRUNED,0 days 00:10:29.941074,10.4990179
100,0.7366218323325397,0.29138172374050275,5,5,PRUNED,0 days 00:10:28.293247,10.471554116666665
101,0.7169954530332191,0.2847541392586905,2,2,PRUNED,0 days 00:03:50.610947,3.8435157833333333
102,0.7290952952938121,0.25398523002867207,5,8,PRUNED,0 days 00:15:31.976715,15.532945250000001
103,0.7456802980093193,0.31602382281684627,5,6,COMPLETE,0 days 00:26:53.510503,26.891841716666665
104,0.7244487732361478,0.22157799551651047,2,7,PRUNED,0 days 00:08:13.084165,8.218069416666667
105,0.7263609569329287,0.34457379539605504,5,7,PRUNED,0 days 00:13:50.313759,13.83856265
106,0.7261051960456146,0.2925160647897571,4,5,PRUNED,0 days 00:09:18.282621,9.304710349999999
107,0.7363587044476804,0.29052184999406594,5,6,PRUNED,0 days 00:12:09.289534,12.154825566666666
108,0.7226377548775114,0.30669714942416426,4,6,PRUNED,0 days 00:10:41.477989,10.691299816666666
109,0.7179614762132294,0.3596366020111056,5,4,PRUNED,0 days 00:08:49.703877,8.828397950000001
