number,value,attn_dropout,num_heads,num_layers,state,duration,duration_min
0,0.6040071932963835,0.292797576724562,5,3,COMPLETE,0 days 00:17:26.186577,17.43644295
1,0.6112359849085225,0.062397808134481064,1,4,COMPLETE,0 days 00:15:21.249082,15.354151366666667
2,0.6050887797518819,0.24044600469728353,5,2,COMPLETE,0 days 00:18:29.912728,18.498545466666666
3,0.613431951070258,0.38796394086479774,1,5,COMPLETE,0 days 00:17:25.287063,17.421451049999998
4,0.6109976523237631,0.07272998688284026,2,6,COMPLETE,0 days 00:14:20.414096,14.340234933333333
5,0.580568102044404,0.20990257265289514,2,2,PRUNED,0 days 00:03:49.418062,3.8236343666666666
6,0.5801831658389336,0.2447411578889518,2,4,PRUNED,0 days 00:05:33.632056,5.560534266666666
7,0.5795840241428583,0.1465447373174767,2,2,PRUNED,0 days 00:03:51.050041,3.8508340166666666
8,0.6126525236030395,0.0798695128633439,4,4,COMPLETE,0 days 00:20:59.888899,20.99814831666667
9,0.6151667770939384,0.01858016508799909,3,4,COMPLETE,0 days 00:24:18.308924,24.305148733333333
10,0.5956643830029715,0.008640475989318202,5,2,PRUNED,0 days 00:06:45.715414,6.761923566666667
11,0.5853276187993586,0.39213226367523446,1,6,PRUNED,0 days 00:05:43.612531,5.7268755166666665
12,0.6161557778690661,0.2770670388077998,3,6,COMPLETE,0 days 00:17:34.093292,17.568221533333332
13,0.6180654465812088,0.38392383153782256,4,6,COMPLETE,0 days 00:39:07.789116,39.1298186
14,0.6151024651165435,0.37015582374594275,5,6,COMPLETE,0 days 00:23:51.235548,23.853925800000003
15,0.6168896479732571,0.24415815761798054,3,6,COMPLETE,0 days 00:17:30.526329,17.508772150000002
16,0.6056928741182,0.21950823623108612,5,6,COMPLETE,0 days 00:20:59.356052,20.989267533333337
17,0.6120869219149776,0.3985643036619907,3,5,COMPLETE,0 days 00:15:18.241913,15.304031883333332
18,0.611466502792102,0.39034216818703876,5,4,COMPLETE,0 days 00:17:14.817596,17.246959933333336
19,0.6156278311689676,0.17165643141970224,3,6,COMPLETE,0 days 00:17:31.813119,17.53021865
20,0.6166848500807363,0.3364119584917638,4,6,COMPLETE,0 days 00:21:01.509445,21.025157416666666
21,0.6187030068743671,0.35876079741281264,4,6,COMPLETE,0 days 00:39:07.350334,39.12250556666667
22,0.6231233679578876,0.3956325505363167,4,6,COMPLETE,0 days 00:39:04.777366,39.07962276666667
23,0.6149584460821172,0.37901440716558227,3,6,COMPLETE,0 days 00:17:28.002925,17.466715416666666
24,0.6108794144499647,0.3954980132448925,4,6,COMPLETE,0 days 00:21:00.244230,21.0040705
25,0.6117046958630742,0.299101037381843,4,5,COMPLETE,0 days 00:24:55.359097,24.922651616666666
26,0.5737569830712134,0.010219797924217261,1,2,PRUNED,0 days 00:03:21.030060,3.350501
27,0.5709763706328095,0.3443869474272273,1,2,PRUNED,0 days 00:03:20.167970,3.336132833333333
28,0.6170114806304126,0.005256126287123297,4,6,COMPLETE,0 days 00:21:02.175733,21.036262216666668
29,0.6147487515900524,0.3787092987510868,4,5,COMPLETE,0 days 00:18:09.582992,18.159716533333334
30,0.6134517516489856,0.39982685180783695,5,6,COMPLETE,0 days 00:23:51.365186,23.856086433333335
31,0.6018213879667352,0.042563934309432574,5,6,PRUNED,0 days 00:15:03.912895,15.065214916666667
32,0.6142353622906058,0.01670457197621958,4,6,COMPLETE,0 days 00:20:59.115373,20.985256216666667
33,0.6167665998845945,0.3556501907176407,4,6,COMPLETE,0 days 00:20:57.976892,20.966281533333333
34,0.6152286932915393,0.0052915290381517315,3,6,COMPLETE,0 days 00:17:32.774548,17.54624246666667
35,0.5930575224595023,0.3930744627111219,3,3,PRUNED,0 days 00:06:49.129343,6.818822383333333
36,0.6173527900967548,0.3792713516335347,4,6,COMPLETE,0 days 00:20:58.565733,20.97609555
37,0.6182679320400479,0.3908997600689219,4,6,COMPLETE,0 days 00:20:59.283535,20.988058916666667
38,0.6151402234159997,0.3977284347305484,3,6,COMPLETE,0 days 00:17:26.940461,17.44900768333333
39,0.6096049315599933,0.3294416972297509,4,6,COMPLETE,0 days 00:20:56.141765,20.935696083333333
