number,value,attn_dropout,num_heads,num_layers,state,duration,duration_min
0,0.8073177180640242,0.292797576724562,8,5,COMPLETE,0 days 00:43:15.165985,43.25276641666667
1,0.8163790625575801,0.062397808134481064,4,6,COMPLETE,0 days 00:49:51.648815,49.86081358333333
2,0.8140480430746478,0.24044600469728353,8,4,COMPLETE,0 days 00:53:39.778871,53.662981183333336
3,0.8064211746486072,0.38796394086479774,4,7,COMPLETE,0 days 00:38:48.491430,38.8081905
4,0.8177922487194083,0.07272998688284026,5,8,COMPLETE,0 days 01:20:09.808141,80.16346901666667
5,0.78805318507431,0.20990257265289514,5,4,PRUNED,0 days 00:08:53.386296,8.8897716
6,0.7878446513969573,0.2447411578889518,5,6,PRUNED,0 days 00:12:15.338898,12.255648299999999
7,0.7791507478064807,0.1465447373174767,5,4,PRUNED,0 days 00:08:53.489114,8.891485233333333
8,0.7705322343629044,0.0798695128633439,7,6,PRUNED,0 days 00:15:30.082925,15.501382083333334
9,0.7872451307589858,0.01858016508799909,6,6,PRUNED,0 days 00:30:46.651810,30.77753016666667
10,0.7919773307009408,0.10682815938067304,5,8,PRUNED,0 days 00:27:08.302203,27.13837005
11,0.7845836813523186,0.0456427485567531,4,6,PRUNED,0 days 00:10:50.678967,10.844649449999999
12,0.7922333790057936,0.15879819565150374,7,8,PRUNED,0 days 00:34:33.210012,34.5535002
13,0.7979927972827006,0.03212224284966926,4,8,PRUNED,0 days 00:23:44.720766,23.7453461
14,0.7801668536380424,0.012395518864175697,4,4,PRUNED,0 days 00:07:55.803359,7.930055983333333
15,0.7832890677367557,0.3338074304780808,7,7,PRUNED,0 days 00:17:42.702511,17.711708516666665
16,0.8016344291025228,0.16713574076677118,4,6,PRUNED,0 days 00:18:44.059679,18.734327983333333
17,0.7933693816234475,0.01241821264620814,6,8,PRUNED,0 days 00:30:55.250413,30.920840216666665
18,0.7817381956750507,0.22027012000331098,4,8,PRUNED,0 days 00:13:46.657402,13.777623366666667
19,0.7938051752746726,0.11308337535411458,5,7,PRUNED,0 days 00:24:12.378204,24.206303400000003
20,0.8017850154075057,0.08602317015330149,7,4,PRUNED,0 days 00:19:10.736678,19.178944633333334
21,0.7789400939511412,0.24074990441249866,8,4,PRUNED,0 days 00:12:20.213860,12.336897666666665
22,0.7851904037308657,0.19467559835047088,7,4,PRUNED,0 days 00:11:05.420753,11.090345883333333
23,0.7694451380084024,0.15063878387161647,8,4,PRUNED,0 days 00:12:20.747404,12.345790066666666
24,0.7761502421577713,0.3712949812316261,7,4,PRUNED,0 days 00:11:04.932696,11.082211599999999
25,0.8026004550207552,0.09185613030061002,5,6,PRUNED,0 days 00:21:17.159265,21.28598775
26,0.7567147339207227,0.23329086158653092,7,6,PRUNED,0 days 00:26:54.098808,26.901646799999998
27,0.8042123256643905,0.3443869474272273,4,4,PRUNED,0 days 00:13:42.491914,13.708198566666665
28,0.8059720494142635,0.05525775665723095,4,7,COMPLETE,0 days 00:30:19.751120,30.32918533333333
29,0.7739345914312654,0.3158996688783375,8,4,PRUNED,0 days 00:12:21.234150,12.3539025
30,0.7985979121763784,0.08733153865572314,4,5,PRUNED,0 days 00:16:17.839083,16.297318049999998
31,0.7798015670793947,0.3220652668110008,8,6,PRUNED,0 days 00:17:24.678716,17.41131193333333
32,0.7959424730421789,0.22769481617857898,8,5,PRUNED,0 days 00:25:41.442341,25.69070568333333
33,0.8187361289925907,0.29965247220245167,7,5,COMPLETE,0 days 01:08:08.948733,68.14914555
34,0.7864052793744774,0.27299843338332686,7,5,PRUNED,0 days 00:13:19.021041,13.317017349999999
35,0.7883811692845248,0.3930744627111219,6,5,PRUNED,0 days 00:11:55.010986,11.916849766666667
36,0.7828568272156844,0.25682990142968404,6,5,PRUNED,0 days 00:11:57.265043,11.954417383333332
37,0.7875488794916596,0.06406546605246577,5,8,PRUNED,0 days 00:27:11.774830,27.19624716666667
38,0.7998717090039145,0.01289217110113252,4,6,PRUNED,0 days 00:18:44.925690,18.7487615
39,0.7854939412834013,0.27780231592252674,7,4,PRUNED,0 days 00:11:02.958958,11.049315966666667
40,0.7864221748616904,0.12427576787919858,6,8,PRUNED,0 days 00:30:50.925916,30.848765266666664
41,0.7872891935948239,0.33772605001532263,8,5,PRUNED,0 days 00:25:37.499264,25.624987733333334
42,0.7967749524478043,0.34825120046077584,4,6,PRUNED,0 days 00:18:38.825187,18.64708645
43,0.7850163764318799,0.31658923435600145,7,5,PRUNED,0 days 00:13:16.958207,13.282636783333334
44,0.8025556360261238,0.2771935104816976,8,5,PRUNED,0 days 00:25:37.476804,25.624613399999998
45,0.7788583359257806,0.28206724056492616,8,5,PRUNED,0 days 00:14:47.688639,14.794810649999999
46,0.7848586751558961,0.13277492949213657,4,8,PRUNED,0 days 00:13:40.885974,13.6814329
47,0.7604941231198934,0.23048148557274542,8,8,PRUNED,0 days 00:22:24.400446,22.4066741
48,0.8172742716670216,0.015527034575394102,5,8,COMPLETE,0 days 01:31:43.460073,91.72433455000001
49,0.8061503440990395,0.002824105990399256,5,8,COMPLETE,0 days 00:34:36.614624,34.61024373333333
50,0.8015726247485501,0.010269337587974783,5,8,PRUNED,0 days 00:27:00.875166,27.0145861
51,0.7926148853413701,0.2530071649815184,8,4,PRUNED,0 days 00:15:11.707299,15.19512165
52,0.8024149194626868,0.017280339816392376,5,7,PRUNED,0 days 00:24:04.178050,24.069634166666667
53,0.7909001399933459,0.06564533202381148,5,8,PRUNED,0 days 00:15:37.268656,15.621144266666667
54,0.7838096980079149,0.09556460256795031,4,6,PRUNED,0 days 00:18:39.619327,18.66032211666667
55,0.7914563163300401,0.08973617770739115,5,8,PRUNED,0 days 00:26:59.049345,26.98415575
56,0.7798292753490299,0.050209286610049815,6,8,PRUNED,0 days 00:17:45.751541,17.762525683333333
57,0.765894704853264,0.00871425773788903,5,5,PRUNED,0 days 00:10:36.461748,10.607695799999998
58,0.7866069831849231,0.34643222368191673,7,6,PRUNED,0 days 00:26:41.883065,26.698051083333333
59,0.7823368732073657,0.39753711401988345,4,8,PRUNED,0 days 00:13:37.254457,13.620907616666667
60,0.7858392117796467,0.06533641634799725,8,6,PRUNED,0 days 00:25:41.391685,25.689861416666666
61,0.7959907894968958,0.32485213059192874,5,7,PRUNED,0 days 00:23:56.364092,23.939401533333335
62,0.7905644367338928,0.39379257624799935,4,7,PRUNED,0 days 00:12:11.105389,12.185089816666666
63,0.8027592219460696,0.27620244730674504,4,7,PRUNED,0 days 00:21:01.708022,21.028467033333335
64,0.7915172129607286,0.3639595909154104,4,7,PRUNED,0 days 00:21:02.092510,21.034875166666666
65,0.8005819220280691,0.24148277185580955,8,4,PRUNED,0 days 00:21:09.085328,21.15142213333333
66,0.8041494572982877,0.05648873466842419,4,8,PRUNED,0 days 00:23:39.350636,23.655843933333333
67,0.8019633425958708,0.08243146994604873,5,7,PRUNED,0 days 00:24:04.707964,24.078466066666667
68,0.7992299407182275,0.146108781457228,6,5,PRUNED,0 days 00:20:35.303208,20.588386800000002
69,0.7800393947690107,0.35582256778644217,8,8,PRUNED,0 days 00:22:19.162160,22.319369333333334
70,0.781502762717837,0.1736742708999688,8,5,PRUNED,0 days 00:14:46.469390,14.774489833333332
71,0.7921363388157057,0.0279531292053085,6,7,PRUNED,0 days 00:27:22.994237,27.383237283333337
72,0.804837776469435,0.0055855606291522145,5,8,PRUNED,0 days 01:01:22.071205,61.36785341666667
73,0.7631524494304902,0.015155634336616847,8,8,PRUNED,0 days 00:22:31.479251,22.524654183333332
74,0.8072573904791484,0.013015384348122563,5,8,COMPLETE,0 days 00:38:42.244598,38.70407663333334
75,0.7904162382179238,0.29724542954501165,7,5,PRUNED,0 days 00:13:21.746626,13.362443766666667
76,0.804594307841638,0.01446209395079639,5,8,COMPLETE,0 days 00:38:45.145895,38.75243158333333
77,0.7903432784352167,0.02326377489822981,4,7,PRUNED,0 days 00:12:20.984620,12.349743666666665
78,0.7725404456989055,0.12013481819458549,5,8,PRUNED,0 days 00:15:44.777450,15.746290833333335
79,0.7845929659572535,0.23236525653812085,8,6,PRUNED,0 days 00:30:09.543865,30.15906441666667
80,0.7892571848144679,0.3876133615476716,8,5,PRUNED,0 days 00:14:53.431131,14.890518850000001
81,0.7901414588145312,0.006501118710970538,4,8,PRUNED,0 days 00:13:46.496832,13.774947200000002
