rank,feature,mean_node_mask,cls_0_violet,cls_1_blue,cls_2_yellow,cls_3_orange,cls_4_red,cls_5_dark_red,cls_6_occluded
1,log_dist_to_lit,4.754680e-01,4.587445e-01,4.681680e-01,3.871906e-01,3.733834e-01,0.000000e+00,0.000000e+00,5.045465e-01
2,log_n_intersections,4.714761e-01,2.834641e-01,4.208421e-01,3.371642e-01,5.035318e-01,0.000000e+00,0.000000e+00,5.664610e-01
3,first_obstacle_frac,4.633351e-01,2.800341e-01,4.250306e-01,3.908734e-01,3.860240e-01,0.000000e+00,0.000000e+00,5.481014e-01
4,cos_angles,4.353005e-01,3.687091e-01,2.878441e-01,3.155273e-01,6.136568e-01,0.000000e+00,0.000000e+00,5.175745e-01
5,cos_ns,4.293837e-01,3.696487e-01,2.866423e-01,3.022950e-01,3.606002e-01,0.000000e+00,0.000000e+00,5.238057e-01
6,grazing_angle,4.240689e-01,3.619431e-01,2.915938e-01,4.408035e-01,6.020541e-01,0.000000e+00,0.000000e+00,4.756742e-01
7,rel_z,4.188767e-01,4.344590e-01,3.875629e-01,3.230210e-01,6.413851e-01,0.000000e+00,0.000000e+00,4.291725e-01
8,elevation_angle,4.015140e-01,2.710769e-01,3.089082e-01,3.797006e-01,5.849666e-01,0.000000e+00,0.000000e+00,4.656203e-01
9,is_occluded,3.930677e-01,4.113959e-01,3.919160e-01,4.898207e-01,5.730330e-01,0.000000e+00,0.000000e+00,3.604234e-01
10,log_n_lit_nearby,3.862564e-01,3.595668e-01,3.297281e-01,4.797054e-01,5.607036e-01,0.000000e+00,0.000000e+00,3.873049e-01
11,rel_x,3.837678e-01,2.757285e-01,3.295021e-01,3.078688e-01,5.476689e-01,0.000000e+00,0.000000e+00,4.384494e-01
12,normal_z,3.730499e-01,3.586272e-01,2.965528e-01,3.683346e-01,4.222791e-01,0.000000e+00,0.000000e+00,4.022272e-01
13,log_height,3.702431e-01,3.452991e-01,2.786036e-01,3.172702e-01,4.171120e-01,0.000000e+00,0.000000e+00,4.165140e-01
14,cos_horiz,3.659137e-01,3.724127e-01,2.665645e-01,3.953926e-01,4.138958e-01,0.000000e+00,0.000000e+00,3.910419e-01
15,log_horiz_dist,3.507632e-01,4.363912e-01,2.794894e-01,5.027393e-01,5.877480e-01,0.000000e+00,0.000000e+00,3.099744e-01
16,log_dist,3.495959e-01,2.826079e-01,2.926310e-01,4.426382e-01,6.064333e-01,0.000000e+00,0.000000e+00,3.578761e-01
17,slope_discontinuity,3.454932e-01,3.933452e-01,3.068612e-01,3.601664e-01,3.331023e-01,0.000000e+00,0.000000e+00,3.431934e-01
18,log_area,3.413888e-01,3.423211e-01,3.337194e-01,3.685697e-01,5.391155e-01,0.000000e+00,0.000000e+00,3.273939e-01
19,obstacle_proximity,3.222422e-01,2.945684e-01,2.712678e-01,3.904124e-01,5.939763e-01,0.000000e+00,0.000000e+00,3.203582e-01
20,rel_y,2.986277e-01,3.914288e-01,2.709755e-01,2.742079e-01,4.002827e-01,0.000000e+00,0.000000e+00,2.794225e-01
21,normal_x,2.922226e-01,3.375337e-01,2.856437e-01,2.742688e-01,2.869329e-01,0.000000e+00,0.000000e+00,2.846972e-01
22,normal_y,2.834629e-01,2.807432e-01,2.721821e-01,2.667682e-01,4.513634e-01,0.000000e+00,0.000000e+00,2.813139e-01
23,reflect_score,2.720713e-01,2.753651e-01,2.651330e-01,2.755257e-01,2.828069e-01,0.000000e+00,0.000000e+00,2.723103e-01
