rank,feature,mean_abs_shap,cls_0_violet,cls_1_blue,cls_2_yellow,cls_3_orange,cls_4_red,cls_5_dark_red,cls_6_occluded
1,log_dist_to_lit,9.387793e-01,2.303838e-01,5.074766e-01,3.333227e-01,2.395142e-01,1.037506e-01,0.000000e+00,1.178585e+00
2,log_n_intersections,7.923927e-01,1.882300e-01,2.643851e-01,2.185393e-01,2.031764e-01,2.247413e-01,0.000000e+00,1.050043e+00
3,first_obstacle_frac,4.497465e-01,1.123828e-01,1.170220e-01,3.326095e-01,5.963170e-01,8.357909e-02,0.000000e+00,5.839490e-01
4,cos_angles,3.312664e-01,9.851076e-02,2.500090e-01,8.868331e-02,2.158847e-01,4.102939e-01,0.000000e+00,3.846592e-01
5,log_horiz_dist,2.565379e-01,6.004594e-01,1.168566e-01,2.483438e-01,4.491570e-01,5.879655e-01,0.000000e+00,2.638479e-01
6,is_occluded,2.078207e-01,5.579647e-02,1.448216e-01,2.367090e-01,4.407147e-01,3.502605e-01,0.000000e+00,2.314032e-01
7,log_n_lit_nearby,2.033567e-01,1.043212e-01,8.692364e-02,2.042681e-01,2.831284e-01,3.357474e-01,0.000000e+00,2.471799e-01
8,log_dist,1.876923e-01,9.271237e-01,1.536863e-01,3.982667e-01,1.140944e+00,5.864130e-01,0.000000e+00,8.946215e-02
9,obstacle_proximity,1.668970e-01,1.307598e-01,2.076375e-01,1.553868e-01,6.419943e-01,3.085136e+00,0.000000e+00,1.339601e-01
10,cos_horiz,1.497623e-01,8.017159e-02,8.249138e-02,3.551800e-02,3.149077e-02,1.016260e-01,0.000000e+00,1.840062e-01
11,log_area,1.254997e-01,2.128511e-01,5.635956e-02,8.959821e-02,2.751013e-01,3.485875e-02,0.000000e+00,1.340565e-01
12,log_height,1.191762e-01,1.370001e-01,1.024578e-01,8.159721e-02,6.219607e-02,3.419956e-02,0.000000e+00,1.258978e-01
13,rel_z,9.617843e-02,6.192748e-02,2.056380e-01,2.916796e-01,1.008822e-01,2.688669e-01,0.000000e+00,6.205053e-02
14,grazing_angle,9.039253e-02,1.524820e-01,1.774745e-01,1.903883e-01,3.699363e-01,9.603862e-02,0.000000e+00,4.282959e-02
15,cos_ns,8.522804e-02,7.007352e-02,1.177331e-01,7.327437e-02,8.870428e-02,1.053881e-01,0.000000e+00,7.559251e-02
16,slope_discontinuity,8.225019e-02,1.852770e-01,6.833120e-02,1.817561e-01,9.029042e-02,7.165892e-02,0.000000e+00,7.723073e-02
17,elevation_angle,8.213651e-02,1.385503e-01,7.340170e-02,2.555098e-01,7.044234e-02,9.100075e-02,0.000000e+00,8.024585e-02
18,normal_z,7.760264e-02,7.742850e-02,4.276316e-02,4.181449e-02,6.511070e-02,2.823535e-02,0.000000e+00,8.988991e-02
19,rel_x,6.719612e-02,6.830812e-02,4.591016e-02,2.474937e-02,2.389924e-02,1.179481e-01,0.000000e+00,7.625993e-02
20,normal_x,6.504361e-02,4.912569e-02,5.739305e-02,9.311286e-02,4.212626e-02,7.688873e-02,0.000000e+00,6.998800e-02
21,normal_y,6.341195e-02,6.877126e-02,7.635453e-02,2.331842e-02,2.883688e-02,3.812522e-02,0.000000e+00,6.030859e-02
22,rel_y,5.372859e-02,5.178212e-02,4.588421e-02,4.502280e-02,3.143021e-02,1.243237e-01,0.000000e+00,5.754099e-02
23,reflect_score,1.275453e-03,1.346756e-02,2.256472e-04,2.795466e-04,5.401251e-04,3.312254e-03,0.000000e+00,5.861733e-04
